relative_path	bytes	sha256	year	semester	module	subject	category	pdf_pages	pdf_error	audit_sample_chars	audit_sample_status
Year 1/Semester 102/FHB 102-2/Pharmacology/05 MCQs/MCQs - [Questions] MCQs Abubakr (ASU) - General Cemotherapy.pdf	1375717	44571f8f9fc79493e261a97807914ab9e7127afc102b33fd997c71433eab6217	Year 1	Semester 102	FHB 102-2	Pharmacology	05 MCQs	14		2	empty-text
Year 1/Semester 102/FHB 102-2/Pharmacology/05 MCQs/MCQs - [Questions] MCQs Abubakr (ASU) - Special Chemotherapy.pdf	742680	d787ff1868b620e9ffa46aacb390074c49aadaa67a4687b26792c3a625ea3fc7	Year 1	Semester 102	FHB 102-2	Pharmacology	05 MCQs	7		2	empty-text
Year 1/Semester 102/FHB 102-2/Pharmacology/05 MCQs/MCQs - mcq pharma1 FHB.pdf	266868	1f9a64fcab03438c34c7ba82cf11c620e4e6c6d2049ae93cc58dc5f545bb30ea	Year 1	Semester 102	FHB 102-2	Pharmacology	05 MCQs	5		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Pharmacology/05 MCQs/MCQs - pharma fhb 102-2 by salama.pdf	201100	346f87242b75a96f83216cf3975a04282624d76af6e8054c8730909926cacd2d	Year 1	Semester 102	FHB 102-2	Pharmacology	05 MCQs	39		1197	substantive-text
Year 1/Semester 102/FHB 102-2/Pharmacology/06 EOM Exams/EOM - 3. Antimicrbial Protein inhibitors.pdf	6695849	3a69ab072e403a68f2876542ad6511dfa2dec9395a5cd0af0141e4bafb4792c5	Year 1	Semester 102	FHB 102-2	Pharmacology	06 EOM Exams	49		47	sparse-text
Year 1/Semester 102/FHB 102-2/Pharmacology/06 EOM Exams/EOM - 4. Antimicrbial Nucleopotein (DNA and RNA) Inhibitors.pdf	2380001	5dfd7701d995629e7c36c7967736e21927c28a3a5e89272f8c40e20cacbac952	Year 1	Semester 102	FHB 102-2	Pharmacology	06 EOM Exams	23		40	sparse-text
Year 1/Semester 102/FHB 102-2/Pharmacology/06 EOM Exams/EOM - 5. Antifolate Drugs.pdf	993052	1c098c79464fd2b1e47dce741c09a0c29fa2446feeb280ea1f7ff1ac91d7733f	Year 1	Semester 102	FHB 102-2	Pharmacology	06 EOM Exams	10		155	sparse-text
Year 1/Semester 102/FHB 102-2/Pharmacology/06 EOM Exams/EOM - 5. Folate Antagonists (Dr. Esraa).pdf	642241	fca512413dacd95eeb9c00487fa1a7f9fc7e78ab195f3aeb0ac3c295bc16398b	Year 1	Semester 102	FHB 102-2	Pharmacology	06 EOM Exams	12		151	sparse-text
Year 1/Semester 102/FHB 102-2/Pharmacology/06 EOM Exams/EOM - 6. TB and Leprosy (Dr. Esraa).pdf	2313080	47c08908667b08b453d71594041a4e9ee2912b0e594bc80b5ef82658381f933d	Year 1	Semester 102	FHB 102-2	Pharmacology	06 EOM Exams	48		241	sparse-text
Year 1/Semester 102/FHB 102-2/Pharmacology/06 EOM Exams/EOM - 7. Antifungal_Drugs.pdf	1476560	bbf7f72f08ce85032b4d64e013a499d0846398d04b970d9248198ad5c141be32	Year 1	Semester 102	FHB 102-2	Pharmacology	06 EOM Exams	26		51	sparse-text
Year 1/Semester 102/FHB 102-2/Pharmacology/06 EOM Exams/EOM - FHB Pharmacology 102 Final Exam Notes 2025.pdf	444604	d6c4b7b739a00dd96eb575836ca1ff2b64e4b006aa7cb6d32b2c995256418349	Year 1	Semester 102	FHB 102-2	Pharmacology	06 EOM Exams	14		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Pharmacology/06 EOM Exams/EOM - Pharmacology FHB102-2 Final all.pdf	14393841	1213f6e2c8296e7a93d709c9ee3eb3b038d02152339b968b392e37dcb510c68a	Year 1	Semester 102	FHB 102-2	Pharmacology	06 EOM Exams	168		47	sparse-text
Year 1/Semester 102/FHB 102-2/Pharmacology/06 EOM Exams/EOM MCQs - FHB2_102_Final_40_MCQ (Tetracyclines & Aminoglycosides).pdf	158253	430a32d0b75f3f5b67f2c0dd874bb1709237131412f7f6a7a475d76053ea6b7c	Year 1	Semester 102	FHB 102-2	Pharmacology	06 EOM Exams	8		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Pharmacology/06 EOM Exams/EOM MCQs - FHB2_Final_MCQ_40 (Macrolides, Clindamycin & Chloramphenicol).pdf	52943	e14d492c47cf11ff3d6f9806bedb594e95221850ad36a4ba9ae50e996d169556	Year 1	Semester 102	FHB 102-2	Pharmacology	06 EOM Exams	6		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Pharmacology/06 EOM Exams/EOM MCQs - Final OSPE Simulation FHB102_Mucize Doctors.pdf	1113272	9d8fd6b6b5d51ccc5049efc430daa26267f57ac04dc11717686cfad21af7edf1	Year 1	Semester 102	FHB 102-2	Pharmacology	06 EOM Exams	18		460	sparse-text
Year 1/Semester 102/FHB 102-2/Pharmacology/06 EOM Exams/EOM MCQs - Pharmacology FHB102-2 Exam Night Questions & Notes (Final).pdf	147104	cb110e4f11346fa2b531a29a7617ff9dd5c0c91f714d9efcd332826dee5c8fca	Year 1	Semester 102	FHB 102-2	Pharmacology	06 EOM Exams	8		1675	substantive-text
Year 1/Semester 102/FHB 102-2/Pharmacology/06 EOM Exams/EOM MCQs - Pharmacology FHB102-2 Questions (Final).pdf	229462	5b63fc5abbeced52990af9ad0f802fab2a95c00f10e8ec1e90e646c44310f1e8	Year 1	Semester 102	FHB 102-2	Pharmacology	06 EOM Exams	33		1717	substantive-text
Year 1/Semester 102/FHB 102-2/Pharmacology/06 EOM Exams/EOM MCQs - Pharmacology Written FHB102-2 Questions (Final).pdf	117877	7a7e327a05a996ee0e64555cf28ef341734cd8d486dd8dabf3c13f04cf523085	Year 1	Semester 102	FHB 102-2	Pharmacology	06 EOM Exams	4		1802	substantive-text
Year 1/Semester 102/FHB 102-2/Pharmacology/08 Midterm Exams/2. B-Lactam & Vancomycin.pdf	2556902	875c205531a585cd5b91b7bd05257ca4f8a0052c7e6cfa32ddd8156c6a5c91fb	Year 1	Semester 102	FHB 102-2	Pharmacology	08 Midterm Exams	40		0	audit-not-found
Year 1/Semester 102/FHB 102-2/Pharmacology/08 Midterm Exams/Antibiotics Advrse effects.pdf	1239146	0e91f1d10838d0af56f52c98faec442de6803fa9934ec59f44e4f0950a456648	Year 1	Semester 102	FHB 102-2	Pharmacology	08 Midterm Exams	14		0	audit-not-found
Year 1/Semester 102/FHB 102-2/Pharmacology/08 Midterm Exams/Antibiotics Introd Mechan.pdf	1976783	ee1fb7a716a473eb2d983d7f25ad342f2320dc40d55d3c8d32b777ae69fb46a3	Year 1	Semester 102	FHB 102-2	Pharmacology	08 Midterm Exams	46		0	audit-not-found
Year 1/Semester 102/FHB 102-2/Pharmacology/08 Midterm Exams/B-Lactam and Vancomycin.pdf	1506966	100c06013545f596ed39d298f3f9e8b2ec782c5dfdb42ddf8e5eb21c033c1fd4	Year 1	Semester 102	FHB 102-2	Pharmacology	08 Midterm Exams	29		0	audit-not-found
Year 1/Semester 102/FHB 102-2/Pharmacology/08 Midterm Exams/Chemotherapy lect 1.pdf	2203937	946d9eb2059efd759a36734b923702547f2345410a78a5c6e9414f7a37cd37df	Year 1	Semester 102	FHB 102-2	Pharmacology	08 Midterm Exams	26		0	audit-not-found
Year 1/Semester 102/FHB 102-2/Pharmacology/08 Midterm Exams/FHB Pharmacology Midterm Notes 2025.pdf	1055172	09de94ee340a1967dae22c48850502fe9b15afbd7b3dba5594eb0c39ededc3b2	Year 1	Semester 102	FHB 102-2	Pharmacology	08 Midterm Exams	11		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Pharmacology/08 Midterm Exams/General Antibacterial 1 (By Ezzeldin).pdf	3892204	e703dc230fcd16a3d4733d30b7babe17e7ff6e0f8d239d14e3f67c53b2e1ef2e	Year 1	Semester 102	FHB 102-2	Pharmacology	08 Midterm Exams	29		0	audit-not-found
